                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.17547,                0.97311,                      1,                0.34374,              0.0033333,              0.0033333,              0.0033333
                      2,                0.04093,                0.98256,                      1,                 0.3323,              0.0060066,              0.0060066,              0.0060066
                      3,                0.05863,                0.98199,                      1,                0.33448,              0.0080199,              0.0080199,              0.0080199
                      4,                0.06238,                0.97836,                      1,                0.33806,                0.00703,                0.00703,                0.00703
                      5,                0.05077,                0.97953,                      1,                 0.3348,                0.00604,                0.00604,                0.00604
                      6,                0.04307,                0.97946,                      1,                0.33425,                0.00505,                0.00505,                0.00505
                      7,                 0.0362,                0.97967,                      1,                0.33374,                0.00406,                0.00406,                0.00406
                      8,                0.02868,                0.98067,                      1,                0.33267,                0.00307,                0.00307,                0.00307
                      9,                0.02088,                0.98248,                      1,                0.33042,                0.00208,                0.00208,                0.00208
                     10,                0.01221,                0.98216,                      1,                0.33024,                0.00109,                0.00109,                0.00109
